request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_176,686.95,affordable_with_plan,installments,2025-02-17:90.91|2025-03-19:90.91|2025-04-18:90.91|2025-05-18:90.91|2025-06-17:90.91|2025-07-17:90.91|2025-08-16:90.91|2025-09-15:90.91|2025-10-15:90.91|2025-11-14:90.91|2025-12-14:90.91|2026-01-13:90.91|2026-02-12:90.91|2026-03-14:90.91|2026-04-13:90.91,,none,Recommended installments. Evaluated safety over 90 days.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_178,2938.1,affordable_with_plan,installments,2024-12-07:2938.10,2024-12-07,none,Recommended installments. Evaluated safety over 90 days.
request_179,37957250.0,affordable_with_plan,installments,2025-05-11:3054186.67|2025-06-10:3054186.67|2025-07-10:3054186.67|2025-08-09:3054186.67|2025-09-08:3054186.67|2025-10-08:3054186.67|2025-11-07:3054186.67|2025-12-07:3054186.67|2026-01-06:3054186.67|2026-02-05:3054186.67|2026-03-07:3054186.67|2026-04-06:3054186.67|2026-05-06:3054186.67|2026-06-05:3054186.67|2026-07-05:3054186.67,,none,Recommended installments. Evaluated safety over 90 days.
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500.00,2026-07-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_181,1141.0,affordable_with_plan,installments,2024-03-03:284.28|2024-03-31:284.28|2024-04-28:284.28|2024-05-26:284.28|2024-06-23:284.28|2024-07-21:284.28|2024-08-18:284.28|2024-09-15:284.28|2024-10-13:284.28|2024-11-10:284.28|2024-12-08:284.28|2025-01-05:284.28|2025-02-02:284.28|2025-03-02:284.28|2025-03-30:284.28|2025-04-27:284.28|2025-05-25:284.28|2025-06-22:284.28|2025-07-20:284.28|2025-08-17:284.28|2025-09-14:284.28,,none,Recommended installments. Evaluated safety over 90 days.
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714.00,2025-08-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_183,26866000.0,affordable_with_plan,installments,2026-04-07:26866000.00,2026-04-07,none,Recommended installments. Evaluated safety over 90 days.
request_184,47540.0,affordable_with_plan,installments,2024-06-18:14154.38|2024-07-16:14154.38|2024-08-13:14154.38|2024-09-10:14154.38|2024-10-08:14154.38|2024-11-05:14154.38|2024-12-03:14154.38|2024-12-31:14154.38|2025-01-28:14154.38|2025-02-25:14154.38|2025-03-25:14154.38|2025-04-22:14154.38|2025-05-20:14154.38|2025-06-17:14154.38|2025-07-15:14154.38|2025-08-12:14154.38|2025-09-09:14154.38|2025-10-07:14154.38|2025-11-04:14154.38|2025-12-02:14154.38|2025-12-30:14154.38,,none,Recommended installments. Evaluated safety over 90 days.
request_185,783.4,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_186,22863.5,affordable_with_plan,installments,2026-01-06:1681.75|2026-02-06:1681.75|2026-03-09:1681.75|2026-04-09:1681.75|2026-05-10:1681.75|2026-06-10:1681.75|2026-07-11:1681.75|2026-08-11:1681.75|2026-09-11:1681.75|2026-10-12:1681.75|2026-11-12:1681.75|2026-12-13:1681.75|2027-01-13:1681.75|2027-02-13:1681.75|2027-03-16:1681.75|2027-04-16:1681.75|2027-05-17:1681.75|2027-06-17:1681.75,,none,Recommended installments. Evaluated safety over 90 days.
request_187,67435.0,affordable_with_plan,installments,2024-09-12:10535.71|2024-10-10:10535.71|2024-11-07:10535.71|2024-12-05:10535.71|2025-01-02:10535.71|2025-01-30:10535.71|2025-02-27:10535.71|2025-03-27:10535.71|2025-04-24:10535.71|2025-05-22:10535.71|2025-06-19:10535.71|2025-07-17:10535.71|2025-08-14:10535.71|2025-09-11:10535.71|2025-10-09:10535.71|2025-11-06:10535.71|2025-12-04:10535.71|2026-01-01:10535.71|2026-01-29:10535.71|2026-02-26:10535.71|2026-03-26:10535.71,,none,Recommended installments. Evaluated safety over 90 days.
request_188,585.3,affordable_with_plan,installments,2025-02-21:180.69|2025-03-23:180.69|2025-04-22:180.69|2025-05-22:180.69|2025-06-21:180.69|2025-07-21:180.69|2025-08-20:180.69|2025-09-19:180.69|2025-10-19:180.69|2025-11-18:180.69|2025-12-18:180.69|2026-01-17:180.69|2026-02-16:180.69|2026-03-18:180.69|2026-04-17:180.69,,none,Recommended installments. Evaluated safety over 90 days.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_190,1555.8,affordable_later,wait,none,2024-12-15,none,Recommended wait. Evaluated safety over 90 days.
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_192,384.8,affordable_with_plan,installments,2026-04-19:129.58|2026-05-20:129.58|2026-06-20:129.58|2026-07-21:129.58|2026-08-21:129.58|2026-09-21:129.58|2026-10-22:129.58|2026-11-22:129.58|2026-12-23:129.58|2027-01-23:129.58|2027-02-23:129.58|2027-03-26:129.58|2027-04-26:129.58|2027-05-27:129.58|2027-06-27:129.58|2027-07-28:129.58|2027-08-28:129.58|2027-09-28:129.58,,none,Recommended installments. Evaluated safety over 90 days.
request_193,310.62,affordable_with_plan,installments,2024-03-07:68.11|2024-04-04:68.11|2024-05-02:68.11|2024-05-30:68.11|2024-06-27:68.11|2024-07-25:68.11|2024-08-22:68.11|2024-09-19:68.11|2024-10-17:68.11|2024-11-14:68.11|2024-12-12:68.11|2025-01-09:68.11|2025-02-06:68.11|2025-03-06:68.11|2025-04-03:68.11|2025-05-01:68.11|2025-05-29:68.11|2025-06-26:68.11|2025-07-24:68.11|2025-08-21:68.11|2025-09-18:68.11,,none,Recommended installments. Evaluated safety over 90 days.
request_194,95030.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_195,1170.4,affordable_with_plan,installments,2026-01-06:1170.40,2026-01-06,none,Recommended installments. Evaluated safety over 90 days.
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_197,50939000.0,affordable_with_plan,installments,2025-11-05:50939000.00,2025-11-05,none,Recommended installments. Evaluated safety over 90 days.
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800.00,2026-07-07,none,Recommended full_payment. Evaluated safety over 90 days.
request_199,23674000.0,affordable_with_plan,installments,2024-09-04:23674000.00,2024-09-04,none,Recommended installments. Evaluated safety over 90 days.
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000.00,2025-02-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000.00,2026-04-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900.00,2024-12-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_203,1442.1,affordable_with_plan,installments,2025-05-07:1442.10,2025-05-07,none,Recommended installments. Evaluated safety over 90 days.
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000.00,2024-03-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_206,1404.7,affordable_with_plan,installments,2025-08-03:1404.70,2025-08-03,none,Recommended installments. Evaluated safety over 90 days.
request_207,11830.0,affordable_now,full_payment,2026-07-05:11830.00,2026-07-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_208,4413000.0,affordable_now,full_payment,2024-06-07:4413000.00,2024-06-07,none,Recommended full_payment. Evaluated safety over 90 days.
request_209,8625.1,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_210,1360.02,affordable_with_plan,installments,2026-04-06:1360.02,2026-04-06,none,Recommended installments. Evaluated safety over 90 days.
request_211,1227.89,affordable_with_plan,installments,2024-09-10:100.50|2024-10-08:100.50|2024-11-05:100.50|2024-12-03:100.50|2024-12-31:100.50|2025-01-28:100.50|2025-02-25:100.50|2025-03-25:100.50|2025-04-22:100.50|2025-05-20:100.50|2025-06-17:100.50|2025-07-15:100.50|2025-08-12:100.50|2025-09-09:100.50|2025-10-07:100.50|2025-11-04:100.50|2025-12-02:100.50|2025-12-30:100.50|2026-01-27:100.50|2026-02-24:100.50|2026-03-24:100.50,2024-09-15,none,Recommended installments. Evaluated safety over 90 days.
request_212,22344000.0,affordable_with_plan,installments,2025-02-19:5275160.00|2025-03-21:5275160.00|2025-04-20:5275160.00|2025-05-20:5275160.00|2025-06-19:5275160.00|2025-07-19:5275160.00|2025-08-18:5275160.00|2025-09-17:5275160.00|2025-10-17:5275160.00|2025-11-16:5275160.00|2025-12-16:5275160.00|2026-01-15:5275160.00|2026-02-14:5275160.00|2026-03-16:5275160.00|2026-04-15:5275160.00,,none,Recommended installments. Evaluated safety over 90 days.
request_213,3362.4,affordable_with_plan,installments,2026-01-07:3362.40,2026-01-07,none,Recommended installments. Evaluated safety over 90 days.
request_214,69750.0,affordable_with_plan,installments,2024-12-04:69750.00,2024-12-04,none,Recommended installments. Evaluated safety over 90 days.
request_215,29986.0,affordable_with_plan,installments,2025-05-06:29986.00,2025-05-06,none,Recommended installments. Evaluated safety over 90 days.
request_216,1166.8,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_217,31601.97,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-03-15,none,Recommended installments. Evaluated safety over 90 days.
request_218,37942414.8,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-08-15,none,Recommended installments. Evaluated safety over 90 days.
request_219,1673.1,affordable_with_plan,installments,2026-04-04:1673.10,2026-04-04,none,Recommended installments. Evaluated safety over 90 days.
request_220,307.32,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800.00,2025-11-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078.00,2026-01-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Recommended full_payment. Evaluated safety over 90 days.
request_224,10327000.0,affordable_with_plan,installments,2025-02-04:10327000.00,2025-02-04,none,Recommended installments. Evaluated safety over 90 days.
request_225,18120459.6,affordable_with_plan,installments,2026-07-06:1397070.00|2026-08-06:1397070.00|2026-09-06:1397070.00|2026-10-07:1397070.00|2026-11-07:1397070.00|2026-12-08:1397070.00|2027-01-08:1397070.00|2027-02-08:1397070.00|2027-03-11:1397070.00|2027-04-11:1397070.00|2027-05-12:1397070.00|2027-06-12:1397070.00|2027-07-13:1397070.00|2027-08-13:1397070.00|2027-09-13:1397070.00|2027-10-14:1397070.00|2027-11-14:1397070.00|2027-12-15:1397070.00,,none,Recommended installments. Evaluated safety over 90 days.
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000.00,2024-12-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_227,42755.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_228,10557350.0,affordable_with_plan,installments,2026-04-10:3219122.50|2026-05-10:3219122.50|2026-06-09:3219122.50|2026-07-09:3219122.50|2026-08-08:3219122.50|2026-09-07:3219122.50|2026-10-07:3219122.50|2026-11-06:3219122.50|2026-12-06:3219122.50|2027-01-05:3219122.50|2027-02-04:3219122.50|2027-03-06:3219122.50|2027-04-05:3219122.50|2027-05-05:3219122.50|2027-06-04:3219122.50|2027-07-04:3219122.50|2027-08-03:3219122.50|2027-09-02:3219122.50|2027-10-02:3219122.50|2027-11-01:3219122.50|2027-12-01:3219122.50|2027-12-31:3219122.50|2028-01-30:3219122.50|2028-02-29:3219122.50,,none,Recommended installments. Evaluated safety over 90 days.
request_229,727.52,affordable_with_plan,installments,2024-03-04:85.79|2024-04-01:85.79|2024-04-29:85.79|2024-05-27:85.79|2024-06-24:85.79|2024-07-22:85.79|2024-08-19:85.79|2024-09-16:85.79|2024-10-14:85.79|2024-11-11:85.79|2024-12-09:85.79|2025-01-06:85.79|2025-02-03:85.79|2025-03-03:85.79|2025-03-31:85.79|2025-04-28:85.79|2025-05-26:85.79|2025-06-23:85.79|2025-07-21:85.79|2025-08-18:85.79|2025-09-15:85.79,,none,Recommended installments. Evaluated safety over 90 days.
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_231,35706.0,affordable_with_plan,installments,2026-01-03:35706.00,2026-01-03,none,Recommended installments. Evaluated safety over 90 days.
request_232,1869.4,affordable_with_plan,installments,2024-06-19:110.70|2024-07-17:110.70|2024-08-14:110.70|2024-09-11:110.70|2024-10-09:110.70|2024-11-06:110.70|2024-12-04:110.70|2025-01-01:110.70|2025-01-29:110.70|2025-02-26:110.70|2025-03-26:110.70|2025-04-23:110.70|2025-05-21:110.70|2025-06-18:110.70|2025-07-16:110.70|2025-08-13:110.70|2025-09-10:110.70|2025-10-08:110.70|2025-11-05:110.70|2025-12-03:110.70|2025-12-31:110.70,,none,Recommended installments. Evaluated safety over 90 days.
request_233,6241000.0,affordable_with_plan,installments,2025-11-07:6241000.00,2025-11-07,none,Recommended installments. Evaluated safety over 90 days.
request_234,528.6,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_236,14404850.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000.00,2026-04-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_238,663.6,affordable_with_plan,installments,2024-12-07:663.60,2024-12-07,none,Recommended installments. Evaluated safety over 90 days.
request_239,642.0,affordable_now,full_payment,2025-05-04:642.00,2025-05-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_240,37400.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_241,21052000.0,affordable_with_plan,installments,2024-03-03:21052000.00,2024-03-03,none,Recommended installments. Evaluated safety over 90 days.
request_242,369.4,affordable_with_plan,installments,2025-08-19:99.98|2025-09-16:99.98|2025-10-14:99.98|2025-11-11:99.98|2025-12-09:99.98|2026-01-06:99.98|2026-02-03:99.98|2026-03-03:99.98|2026-03-31:99.98|2026-04-28:99.98|2026-05-26:99.98|2026-06-23:99.98|2026-07-21:99.98|2026-08-18:99.98|2026-09-15:99.98|2026-10-13:99.98|2026-11-10:99.98|2026-12-08:99.98|2027-01-05:99.98|2027-02-02:99.98|2027-03-02:99.98|2027-03-30:99.98|2027-04-27:99.98|2027-05-25:99.98,,none,Recommended installments. Evaluated safety over 90 days.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468.00,2026-07-07,none,Recommended full_payment. Evaluated safety over 90 days.
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918.00,2024-06-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_245,65760.0,affordable_with_plan,installments,2025-11-06:9423.33|2025-12-06:9423.33|2026-01-05:9423.33|2026-02-04:9423.33|2026-03-06:9423.33|2026-04-05:9423.33|2026-05-05:9423.33|2026-06-04:9423.33|2026-07-04:9423.33|2026-08-03:9423.33|2026-09-02:9423.33|2026-10-02:9423.33|2026-11-01:9423.33|2026-12-01:9423.33|2026-12-31:9423.33,,none,Recommended installments. Evaluated safety over 90 days.
request_246,64086.0,affordable_with_plan,installments,2026-04-03:64086.00,2026-04-03,none,Recommended installments. Evaluated safety over 90 days.
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_248,1507.36,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_249,342.4,affordable_with_plan,installments,2026-01-04:40.74|2026-02-04:40.74|2026-03-07:40.74|2026-04-07:40.74|2026-05-08:40.74|2026-06-08:40.74|2026-07-09:40.74|2026-08-09:40.74|2026-09-09:40.74|2026-10-10:40.74|2026-11-10:40.74|2026-12-11:40.74|2027-01-11:40.74|2027-02-11:40.74|2027-03-14:40.74|2027-04-14:40.74|2027-05-15:40.74|2027-06-15:40.74,,none,Recommended installments. Evaluated safety over 90 days.
request_250,28820.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_251,1513.6,affordable_with_plan,installments,2025-05-03:1513.60,2025-05-03,none,Recommended installments. Evaluated safety over 90 days.
request_252,9110500.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_253,2143.57,affordable_with_plan,installments,2024-03-07:159.59|2024-04-04:159.59|2024-05-02:159.59|2024-05-30:159.59|2024-06-27:159.59|2024-07-25:159.59|2024-08-22:159.59|2024-09-19:159.59|2024-10-17:159.59|2024-11-14:159.59|2024-12-12:159.59|2025-01-09:159.59|2025-02-06:159.59|2025-03-06:159.59|2025-04-03:159.59|2025-05-01:159.59|2025-05-29:159.59|2025-06-26:159.59|2025-07-24:159.59|2025-08-21:159.59|2025-09-18:159.59,,none,Recommended installments. Evaluated safety over 90 days.
request_254,1759.6,affordable_with_plan,installments,2025-08-07:259.25|2025-09-06:259.25|2025-10-06:259.25|2025-11-05:259.25|2025-12-05:259.25|2026-01-04:259.25|2026-02-03:259.25|2026-03-05:259.25|2026-04-04:259.25|2026-05-04:259.25|2026-06-03:259.25|2026-07-03:259.25|2026-08-02:259.25|2026-09-01:259.25|2026-10-01:259.25,,none,Recommended installments. Evaluated safety over 90 days.
request_255,3345000.0,affordable_now,full_payment,2026-04-06:3345000.00,2026-04-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_256,218700.0,affordable_with_plan,installments,2024-06-03:218700.00,2024-06-03,none,Recommended installments. Evaluated safety over 90 days.
request_257,1085.2,affordable_later,wait,none,2025-11-15,none,Recommended wait. Evaluated safety over 90 days.
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,Recommended full_payment. Evaluated safety over 90 days.
request_259,627.3,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_260,13522300.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,Recommended full_payment. Evaluated safety over 90 days.
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000.00,2024-12-05,none,Recommended full_payment. Evaluated safety over 90 days.
request_263,13750.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_264,39795.0,affordable_with_plan,installments,2026-04-18:7049.00|2026-05-19:7049.00|2026-06-19:7049.00|2026-07-20:7049.00|2026-08-20:7049.00|2026-09-20:7049.00|2026-10-21:7049.00|2026-11-21:7049.00|2026-12-22:7049.00|2027-01-22:7049.00|2027-02-22:7049.00|2027-03-25:7049.00|2027-04-25:7049.00|2027-05-26:7049.00|2027-06-26:7049.00|2027-07-27:7049.00|2027-08-27:7049.00|2027-09-27:7049.00,,none,Recommended installments. Evaluated safety over 90 days.
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970.00,2024-03-06,none,Recommended full_payment. Evaluated safety over 90 days.
request_266,935.0,affordable_with_plan,installments,2025-08-03:935.00,2025-08-03,none,Recommended installments. Evaluated safety over 90 days.
request_267,1925.0,affordable_with_plan,installments,2026-01-05:1925.00,2026-01-05,none,Recommended installments. Evaluated safety over 90 days.
request_268,1512.52,affordable_with_plan,installments,2024-06-21:136.35|2024-07-19:136.35|2024-08-16:136.35|2024-09-13:136.35|2024-10-11:136.35|2024-11-08:136.35|2024-12-06:136.35|2025-01-03:136.35|2025-01-31:136.35|2025-02-28:136.35|2025-03-28:136.35|2025-04-25:136.35|2025-05-23:136.35|2025-06-20:136.35|2025-07-18:136.35|2025-08-15:136.35|2025-09-12:136.35|2025-10-10:136.35|2025-11-07:136.35|2025-12-05:136.35|2026-01-02:136.35,,none,Recommended installments. Evaluated safety over 90 days.
request_269,15490.0,affordable_now,full_payment,2025-11-04:15490.00,2025-11-04,none,Recommended full_payment. Evaluated safety over 90 days.
request_270,535.4,affordable_with_plan,installments,2026-07-09:191.82|2026-08-09:191.82|2026-09-09:191.82|2026-10-10:191.82|2026-11-10:191.82|2026-12-11:191.82|2027-01-11:191.82|2027-02-11:191.82|2027-03-14:191.82|2027-04-14:191.82|2027-05-15:191.82|2027-06-15:191.82|2027-07-16:191.82|2027-08-16:191.82|2027-09-16:191.82|2027-10-17:191.82|2027-11-17:191.82|2027-12-18:191.82,,none,Recommended installments. Evaluated safety over 90 days.
request_271,84760.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_272,8815924.0,affordable_with_plan,installments,2025-02-19:996233.33|2025-03-21:996233.33|2025-04-20:996233.33|2025-05-20:996233.33|2025-06-19:996233.33|2025-07-19:996233.33|2025-08-18:996233.33|2025-09-17:996233.33|2025-10-17:996233.33|2025-11-16:996233.33|2025-12-16:996233.33|2026-01-15:996233.33|2026-02-14:996233.33|2026-03-16:996233.33|2026-04-15:996233.33,,none,Recommended installments. Evaluated safety over 90 days.
request_273,13372200.0,not_affordable,not_recommended,none,,none,Recommended not_recommended. Evaluated safety over 90 days.
request_274,2713.7,affordable_with_plan,installments,2024-12-04:2713.70,2024-12-04,none,Recommended installments. Evaluated safety over 90 days.
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000.00,2025-05-06,none,Recommended full_payment. Evaluated safety over 90 days.
